Constituency name,Region,Winner,con_pct,lab_pct,ldem_pct,grn_pct,snp_pct,pc_pct,ref_pct,rstr_pct,ind_pct,oth_pct
Eltham and Chislehurst,London,Lab,25.5,44.0,5.3,6.8,0.0,0.0,16.3,0.0,1.3,0.8
Ely and East Cambridgeshire,Southern England,LDem,31.8,17.5,32.7,4.5,0.0,0.0,12.3,0.0,0.4,0.8
Enfield North,London,Lab,19.8,49.1,5.8,8.5,0.0,0.0,11.8,0.0,3.3,1.5
Epping Forest,Southern England,Con,43.2,29.6,12.6,6.0,0.0,0.0,0.0,0.0,7.3,1.4
Epsom and Ewell,Southern England,LDem,31.2,15.3,37.9,3.2,0.0,0.0,10.6,0.0,0.0,1.8
Erewash,Midlands,Lab,26.4,40.1,5.6,5.8,0.0,0.0,21.3,0.0,0.8,0.0
Erith and Thamesmead,London,Lab,13.8,55.1,4.6,8.6,0.0,0.0,14.7,0.0,0.5,2.7
Esher and Walton,Southern England,LDem,30.3,5.3,52.6,2.6,0.0,0.0,8.9,0.0,0.0,0.4
Exeter,Southern England,Lab,15.6,45.3,10.5,14.7,0.0,0.0,12.2,0.0,1.6,0.0
Exmouth and Exeter East,Southern England,Con,28.7,28.5,22.2,4.5,0.0,0.0,13.8,0.0,2.0,0.3
Falkirk,Scotland,Lab,8.4,43.0,2.6,4.0,31.3,0.0,7.9,0.0,1.4,1.4
Fareham and Waterlooville,Southern England,Con,35.0,22.9,19.0,4.1,0.0,0.0,18.1,0.0,0.0,0.9
Farnham and Bordon,Southern England,Con,35.7,13.8,33.2,4.7,0.0,0.0,11.7,0.0,0.0,0.8
Faversham and Mid Kent,Southern England,Con,31.8,28.6,8.9,9.1,0.0,0.0,21.2,0.0,0.0,0.4
Feltham and Heston,London,Lab,21.1,41.5,4.7,6.5,0.0,0.0,13.2,0.0,7.3,5.7
Fermanagh and South Tyrone,Northern Ireland,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Filton and Bradley Stoke,Southern England,Lab,25.6,45.5,7.1,8.2,0.0,0.0,13.5,0.0,0.0,0.0
Finchley and Golders Green,London,Lab,35.1,44.3,6.8,6.3,0.0,0.0,5.3,0.0,0.6,1.6
Folkestone and Hythe,Southern England,Lab,26.1,34.7,4.0,9.1,0.0,0.0,24.7,0.0,0.0,1.3
Forest of Dean,Southern England,Lab,33.5,34.0,5.4,9.8,0.0,0.0,17.0,0.0,0.0,0.2
Foyle,Northern Ireland,SDLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0
Frome and East Somerset,Southern England,LDem,23.9,13.7,35.5,10.9,0.0,0.0,13.8,0.0,2.2,0.0
Fylde,Northern England,Con,33.2,32.0,4.4,3.3,0.0,0.0,17.3,0.0,9.4,0.4
Gainsborough,Midlands,Con,35.6,28.1,10.7,3.9,0.0,0.0,21.2,0.0,0.0,0.4
